Round Number,Winner,Depth,Stake,Stake Density,Hash,pot,Reward,MajorityReveal,ReserveCommitments
180291,0x807d8e616aabd519d153825df254debbd5ccf38dbb98da1e61f8b9ac4651026e,8,100000000000000000,25600000000000000000,0x3a1f57fef6b7b697e21265a2a7da2ea046bd452b40fd0d06b4a5c269b576f600,116847081947136000,116847081947136000,0x3a1f57fef6b7b697e21265a2a7da2ea046bd452b40fd0d06b4a5c269b576f600,[object Object]
180307,0x63fd5eb300841662953a0128c0800cb1e45ef2f022cc5697f38c76becd762b3a,8,100000000000000000,25600000000000000000,0x6ac1d046bca73432e0e1d66203ff48831d8dfe6ac3884369ef9e6f5a3ee1cb70,64038887227392000,64038887227392000,0x3a1f57fef6b7b697e21265a2a7da2ea046bd452b40fd0d06b4a5c269b576f600,[object Object]
180338,0x9e87a92d87e1c5d780c4ba13ba26ce4bc2f9a8fd26e159be4e10ec4009fae4a2,8,100000000000000000,25600000000000000000,0xead244cfcf260b3484d8adf523784424689a22452bf74861db9f4cf1816eef42,64880665165824000,64880665165824000,0xead244cfcf260b3484d8adf523784424689a22452bf74861db9f4cf1816eef42,[object Object]
180342,0x7969942589b385a4e9a8aef4722c212233a04538ccac2ef459b60fa28ef0690b,0,25600000000000000000,25600000000000000000,0x263ba02bd7d12c24b91ede8abc154e534dfa6fff2b3402e7c60ba0d627247a8e,64031620595712000,64031620595712000,0xead244cfcf260b3484d8adf523784424689a22452bf74861db9f4cf1816eef42,[object Object]
180346,0x587ae0eb3a7149be0c90f01a5b30d1f0701abfbafce9af9cc5b4fe7cdd3c1969,8,100000000000000000,25600000000000000000,0x4263fa9dc2c1e81c6988da9679a5f956530075f90fbb47c0d7e9e947ecef66ca,64878903558144000,128910524153856000,0xead244cfcf260b3484d8adf523784424689a22452bf74861db9f4cf1816eef42,[object Object]
180347,0x67315a56f6d7408356a243e037895ee9bcda0059be33cff9edc4d45d1a3c83f3,8,100000000000000000,25600000000000000000,0xd2a0e45661a0f50a9ff40647c3d948dbdb52457e1e0064563ad6a0084042b150,62799451521024000,62799451521024000,0xead244cfcf260b3484d8adf523784424689a22452bf74861db9f4cf1816eef42,[object Object]
180348,0x67403351e8544a18e0f46d5dc98442c32e78fea002e81785c1fb8aa4e788b75e,8,200000000000000000,51200000000000000000,0x7dc48363752e5d037cbf6cbc6cda6ea607bf42e38ef8061b882e04337319a219,62384290922496000,62384290922496000,0xead244cfcf260b3484d8adf523784424689a22452bf74861db9f4cf1816eef42,[object Object]
180351,0xf1d676a9a5832696b4800de1cde48c21cefa6146e37856798f4420a2a3801532,8,100000000000000000,25600000000000000000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,64082254233600000,64082254233600000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,[object Object]
180357,0x45a20a8b221522d80ebc52086578f1071739a36c3e586672c7c90ca5d228d8e8,8,100000000000000000,25600000000000000000,0x693a5257017a484f73458555961f441d8d56a9198456c2352e5d364c9f0e7bad,61158086148096000,61158086148096000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,[object Object]
180358,0xf97a8a9c8ddea450f455abd9c37981f1aaf5c02c1be4f84541fea5abd7503a3a,8,100000000000000000,25600000000000000000,0xee678e9085679b7a204ba670bd131add57a3124952114f721c4fd064258fd1e0,63658688249856000,63658688249856000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,[object Object]
180359,0x5bf8eacd0836814f1522ffde4c4419e964b1ba4c698d054f629944435842b124,8,100000000000000000,25600000000000000000,0xde7532fa221218053bce84c094ffaa403075e14f9783bfb93e986cd2259f722f,63248963469312000,63248963469312000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,[object Object]
180361,0xd33901e810a4d228b03f591a8d0fe5c68720e67dfcb25a8b23245a2e6554ffd6,8,100000000000000000,25600000000000000000,0x4f741cd835d484302a71adbd8ca168eda91190f583685fbf5af03c4b3c354e65,63253593980928000,63253593980928000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,[object Object]
180362,0x84b5b50207524a82a5b971db9e11fe283eae7cc28fe20e8748b5c4d55156627e,8,100000000000000000,25600000000000000000,0x149cac1a3f7d9ce5f34f64b569e0deac7ea3a337fd0031f53287a086ec470a73,63668326760448000,63668326760448000,0x9564437f6a2141e9e2ce3d3357e4a619899eb2546d8ddb23659ebe392f69a639,[object Object]
